ticket,open_time,type,size,item,open_px,sl,tp,close_time,close_px,commission,taxes,swap,profit
42753988,2026.05.27 06:55:05,sell,0.01,xauusd,4501.65,0.00,4498.65,2026.05.27 06:58:48,4498.65,0.00,0.00,0.00,3.00
42754045,2026.05.27 06:55:17,buy,0.03,xauusd,4501.15,0.00,4502.75,2026.05.27 07:12:03,4502.75,0.00,0.00,0.00,4.80
42754265,2026.05.27 06:58:48,sell,0.01,xauusd,4498.08,0.00,4498.65,2026.05.27 07:16:01,4502.74,0.00,0.00,0.00,-4.66
42754300,2026.05.27 06:58:52,buy,0.05,xauusd,4498.12,0.00,4502.75,2026.05.27 07:12:03,4502.75,0.00,0.00,0.00,23.15
42754574,2026.05.27 07:05:57,sell,0.02,xauusd,4501.18,0.00,4498.18,2026.05.27 07:16:02,4502.72,0.00,0.00,0.00,-3.08
42754761,2026.05.27 07:12:04,buy,0.01,xauusd,4503.22,0.00,4506.22,2026.05.27 07:16:04,4502.29,0.00,0.00,0.00,-0.93
42754828,2026.05.27 07:16:03,sell,0.01,xauusd,4502.30,0.00,4499.30,2026.05.27 07:16:17,4502.52,0.00,0.00,0.00,-0.22
42754830,2026.05.27 07:16:05,buy,0.01,xauusd,4502.95,0.00,4505.95,2026.05.27 07:16:19,4502.02,0.00,0.00,0.00,-0.93
42754831,2026.05.27 07:16:19,sell,0.01,xauusd,4502.04,0.00,4499.04,2026.05.27 07:16:30,4502.50,0.00,0.00,0.00,-0.46
42754832,2026.05.27 07:16:19,buy,0.01,xauusd,4502.49,0.00,4505.49,2026.05.27 07:16:32,4502.17,0.00,0.00,0.00,-0.32
42757731,2026.05.27 08:27:39,buy,0.01,xauusd,4507.26,0.00,4499.16,2026.05.27 08:37:10,4499.16,0.00,0.00,0.00,-8.10
42757732,2026.05.27 08:27:39,sell,0.01,xauusd,4506.83,0.00,4503.83,2026.05.27 08:31:59,4503.83,0.00,0.00,0.00,3.00
42757837,2026.05.27 08:31:58,buy,0.02,xauusd,4504.05,0.00,4499.16,2026.05.27 08:37:10,4499.16,0.00,0.00,0.00,-9.78
42757871,2026.05.27 08:32:00,sell,0.01,xauusd,4503.45,0.00,4500.45,2026.05.27 08:32:46,4500.45,0.00,0.00,0.00,3.00
42758087,2026.05.27 08:32:42,buy,0.02,xauusd,4500.94,0.00,4499.16,2026.05.27 08:37:10,4499.16,0.00,0.00,0.00,-3.56
42758118,2026.05.27 08:32:46,sell,0.01,xauusd,4499.79,0.00,4496.79,2026.05.27 08:33:05,4496.79,0.00,0.00,0.00,3.00
42758272,2026.05.27 08:33:03,buy,0.03,xauusd,4497.41,0.00,4499.16,2026.05.27 08:37:10,4499.16,0.00,0.00,0.00,5.25
42758324,2026.05.27 08:33:06,sell,0.01,xauusd,4496.30,0.00,4497.14,2026.05.27 08:41:13,4497.14,0.00,0.00,0.00,-0.84
42758523,2026.05.27 08:33:30,buy,0.05,xauusd,4494.35,0.00,4499.16,2026.05.27 08:37:10,4499.16,0.00,0.00,0.00,24.05
42758723,2026.05.27 08:37:10,buy,0.01,xauusd,4499.66,0.00,4496.79,2026.05.27 08:49:34,4496.79,0.00,0.00,0.00,-2.87
